,service_name,first_person_in_charge,index_date,monitor_rule_description,index_type,index_name,aviator_expression,aviator_values,cat_view_url,duration_days
15,bxgame-aoyou-game-web,yuruyi,2021-06-16,异常数,error,java.lang.RuntimeException,count>0,"[""count=1""]",https://cat.yupaopao.com/cat/r/p?domain=bxgame-aoyou-game-web&ip=All&date=20210616&reportType=day&op=history,1
16,bxgame-9shadow-game-web,yuruyi,2021-06-16,异常数,error,org.springframework.web.client.HttpClientErrorException,count>0,"[""count=2""]",https://cat.yupaopao.com/cat/r/p?domain=bxgame-9shadow-game-web&ip=All&date=20210616&reportType=day&op=history,1
17,bxgame-9shadow-game-web,yuruyi,2021-06-16,异常数,error,java.lang.IllegalArgumentException,count>0,"[""count=17""]",https://cat.yupaopao.com/cat/r/p?domain=bxgame-9shadow-game-web&ip=All&date=20210616&reportType=day&op=history,14
18,bxgame-mengyou-billiards,jinyunzhe,2021-06-16,异常数,error,io.grpc.StatusRuntimeException,count>0,"[""count=8""]",https://cat.yupaopao.com/cat/r/p?domain=bxgame-mengyou-billiards&ip=All&date=20210616&reportType=day&op=history,1
19,bxgame-mengyou-billiards,jinyunzhe,2021-06-16,异常数,error,java.lang.NullPointerException,count>0,"[""count=125""]",https://cat.yupaopao.com/cat/r/p?domain=bxgame-mengyou-billiards&ip=All&date=20210616&reportType=day&op=history,14
20,bxgame-qudu-arcade-game-web,jinyunzhe,2021-06-16,异常数,error,java.io.EOFException,count>0,"[""count=3""]",https://cat.yupaopao.com/cat/r/p?domain=bxgame-qudu-arcade-game-web&ip=All&date=20210616&reportType=day&op=history,1
21,bxgame-youyou-rings,jinyunzhe,2021-06-16,异常数,error,java.lang.RuntimeException,count>0,"[""count=4""]",https://cat.yupaopao.com/cat/r/p?domain=bxgame-youyou-rings&ip=All&date=20210616&reportType=day&op=history,14
22,bxgame-youyou-rings,jinyunzhe,2021-06-16,异常数,error,io.jitou.netty.constant.BusException,count>0,"[""count=2052""]",https://cat.yupaopao.com/cat/r/p?domain=bxgame-youyou-rings&ip=All&date=20210616&reportType=day&op=history,14
23,bxgame-youyou-rings,jinyunzhe,2021-06-16,异常数,error,org.springframework.data.redis.serializer.SerializationException,count>0,"[""count=6""]",https://cat.yupaopao.com/cat/r/p?domain=bxgame-youyou-rings&ip=All&date=20210616&reportType=day&op=history,14
24,game-gateway-web,yuruyi,2021-06-16,异常数,error,java.io.IOException,count>0,"[""count=21""]",https://cat.yupaopao.com/cat/r/p?domain=game-gateway-web&ip=All&date=20210616&reportType=day&op=history,14
25,game-gateway-web,yuruyi,2021-06-16,异常数,error,java.lang.NullPointerException,count>0,"[""count=1""]",https://cat.yupaopao.com/cat/r/p?domain=game-gateway-web&ip=All&date=20210616&reportType=day&op=history,1
26,match-service,sujin,2021-06-16,dubbo接口响应时间监控,PigeonService,MatchService.matchNofity,avg>100 || line99Value>150 || line999Value>200,"[""avg=227.5228"",""line99Value=334.6058"",""line999Value=437.2169""]",https://cat.yupaopao.com/cat/r/t?domain=match-service&date=20210616&ip=All&type=PigeonService&reportType=day&op=history,2
27,match-service,sujin,2021-06-16,游戏指令响应时间监控,processMsg,"app:8,serv:2,type:1,msg:103",avg>100 || line99Value>150 || line999Value>200,"[""avg=61.8083"",""line99Value=169.8586"",""line999Value=192.4428""]",https://cat.yupaopao.com/cat/r/t?domain=match-service&date=20210616&ip=All&type=processMsg&reportType=day&op=history,2
28,match-service,sujin,2021-06-16,游戏指令响应时间监控,processMsg,"app:7,serv:2,type:1,msg:103",avg>100 || line99Value>150 || line999Value>200,"[""avg=58.3332"",""line99Value=174.0693"",""line999Value=192.5579""]",https://cat.yupaopao.com/cat/r/t?domain=match-service&date=20210616&ip=All&type=processMsg&reportType=day&op=history,2
29,match-service,sujin,2021-06-16,游戏指令响应时间监控,processMsg,"app:1,serv:2,type:1,msg:100",avg>100 || line99Value>150 || line999Value>200,"[""avg=76.3483"",""line99Value=220.8804"",""line999Value=244.3104""]",https://cat.yupaopao.com/cat/r/t?domain=match-service&date=20210616&ip=All&type=processMsg&reportType=day&op=history,2
